,Class of Orbit,Country of Operator/Owner,Operator/Owner,Users,Purpose,Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Year of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle
112,GEO,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,35782.0,35793.0,0.00013,0.02,1436.17,3813.0,2011,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M
113,GEO,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,35781.0,35793.0,0.000142,0.07,1436.1,4500.0,2014,15.0,Space Systems/Loral,USA,Cape Canaveral,Falcon 9
114,GEO,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,35783.0,35790.0,8.3e-05,0.02,1436.1,6140.0,2017,15.0,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton
115,GEO,USA,1Worldspace,Commercial,Communications,35773.0,35801.0,0.000332,0.02,1436.15,2775.0,2000,15.0,Alcatel Space Industries,France,Guiana Space Center,Ariane 5G
116,LEO,Japan,Japan Space Systems,Government,Earth Observation,506.0,507.0,7.27e-05,97.48,94.75,500.0,2014,3.0,NEC Corporation,Japan,Dombarovsky Air Base,Dnepr
117,LEO,Japan,Japan Space Systems,Government,Earth Observation,493.0,505.0,0.000873,97.3,94.5,570.0,2018,3.0,NEC Corporation,Japan,Uchinoura Space Center,Epsilon
118,LEO,Japan,Chiba Institute of Technology,Civil,Technology Development,556.0,573.0,0.00123,97.6,94.5,4.0,2021,5.4,Chiba Institute of Technology,Japan,Uchinoura Space Center,H2A
119,GEO,Luxembourg,SES S.A.,Commercial,Communications,35780.0,35791.0,0.00013,0.04,1436.08,3379.0,1997,15.0,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K
120,GEO,Luxembourg,SES S.A.,Commercial,Communications,35766.0,35807.0,0.000486,0.08,1436.1,4332.0,2006,15.0,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5
121,GEO,Luxembourg,SES S.A.,Commercial,Communications,35772.0,35798.0,0.000308,0.05,1436.03,4500.0,2007,15.0,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA
122,GEO,Luxembourg,SES S.A.,Commercial,Communications,35804.0,35852.0,0.000569,0.14,1438.2,5345.0,2008,15.0,EADS Astrium,France,Baikonur Cosmodrome,Proton M
123,GEO,Luxembourg,SES S.A.,Commercial,Communications,35715.0,35780.0,0.000772,0.12,1434.1,5350.0,2011,15.0,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA
124,GEO,Luxembourg,SES S.A.,Commercial,Communications,35776.0,35797.0,0.000249,0.08,1436.12,3635.0,1998,15.0,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K
125,GEO,Luxembourg,SES S.A.,Commercial,Communications,35768.0,35804.0,0.000427,0.07,1436.12,3643.0,2001,15.0,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K
126,GEO,Luxembourg,SES S.A.,Commercial,Communications,35770.0,35802.0,0.00038,0.07,1436.1,1420.0,2000,15.0,Hughes Space and Communications Co.,USA,Guiana Space Center,Ariane 5G
127,GEO,Luxembourg,SES S.A.,Commercial,Communications,35781.0,35793.0,0.000142,0.11,1436.12,6052.0,2013,15.0,EADS Astrium,France,Baikonur Cosmodrome,Proton M
128,GEO,Luxembourg,SES S.A.,Commercial,Communications,35777.0,35795.0,0.000213,0.06,1436.07,6000.0,2012,15.0,EADS Astrium,France/UK/Germany,Guiana Space Center,Ariane 5 ECA
129,GEO,Luxembourg,SES S.A.,Commercial,Communications,35785.0,35789.0,4.74e-05,0.09,1436.11,6000.0,2014,15.0,Airbus Defense and Space,Germany/France,Baikonur Cosmodrome,Proton M
130,GEO,Luxembourg,SES S.A.,Commercial,Communications,35770.0,35804.0,0.000403,0.06,1436.07,1500.0,2002,10.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L
131,GEO,Luxembourg,SES S.A.,Commercial,Communications,35768.0,35806.0,0.000451,0.08,1436.11,5471.0,2010,15.0,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA
132,GEO,Luxembourg,SES S.A.,Commercial,Communications,35787.0,35793.0,7.12e-05,0.05,1436.26,5724.0,2014,15.0,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA
134,LEO,Switzerland,Astrocast,Commercial,Communications,521.0,534.0,0.000942,97.5,94.6,4.0,2021,5.4,Astrocast,Switzerland,Cape Canaveral,Falcon 9/Sherpa FX
135,LEO,Switzerland,Astrocast,Commercial,Communications,523.0,535.0,0.00087,97.5,94.6,4.0,2021,5.4,Astrocast,Switzerland,Cape Canaveral,Falcon 9/Sherpa FX
136,LEO,Switzerland,Astrocast,Commercial,Communications,522.0,536.0,0.00101,97.5,94.6,4.0,2021,5.4,Astrocast,Switzerland,Cape Canaveral,Falcon 9/Sherpa FX
137,LEO,Switzerland,Astrocast,Commercial,Communications,524.0,537.0,0.000942,97.5,94.5,4.0,2021,5.4,Astrocast,Switzerland,Cape Canaveral,Falcon 9/Sherpa FX
138,LEO,Switzerland,Astrocast,Commercial,Communications,526.0,535.0,0.000652,97.5,94.5,4.0,2021,5.4,Astrocast,Switzerland,Cape Canaveral,Falcon 9/Sherpa FX
