,LABEL,Rocket_Name,Longitude,Latitude,Booster_No,Booster_PropMass,Booster_Fuel_Type,Booster_StageMass,Stage1_PropMass,Stage1_Fuel_Type,Stage1_StageMass,Stage2_PropMass,Stage2_Fuel_Type,Stage2_StageMass,Stage3_PropMass,Stage3_Fuel_Type,Stage3_StageMass,Stage4_PropMass,Stage4_Fuel_Type,Stage4_StageMass,Fairing_Mass,H2O,H2,CO,CO2,BC,NOx,AI203,Cly
73,False,Long March (CZ) 4B,100.3,41.3,0,0.0,,0.0,183200.0,Hypergolic,9500.0,35550.0,Hypergolic,4000.0,14000.0,Hypergolic,2000.0,0.0,,0.0,1800.0,91238000.0,931000.0,16059750.0,34912500.0,3724000.0,2327500.0,0.0,0.0
74,False,Long March (CZ) 4B,111.5,37.8,0,0.0,,0.0,183200.0,Hypergolic,9500.0,35550.0,Hypergolic,4000.0,14000.0,Hypergolic,2000.0,0.0,,0.0,1800.0,91238000.0,931000.0,16059750.0,34912500.0,3724000.0,2327500.0,0.0,0.0
75,False,Soyuz-2-1B Fregat-M,40.6,62.8,4,156640.0,Kerosene,15136.0,90100.0,Kerosene,6545.0,25400.0,Kerosene,2355.0,5750.0,Hypergolic,960.0,0.0,,0.0,1800.0,94781600.0,2744400.0,86937270.0,174215680.0,6079080.0,57500.0,0.0,0.0
76,False,Antares 230,-75.46,37.85,0,0.0,,0.0,242200.0,Kerosene,19700.0,24924.0,Solid,1392.0,0.0,,0.0,0.0,,0.0,971.0,89875048.0,3045100.0,82677348.0,157072888.0,5727184.0,0.0,8175072.0,5408508.0
77,True,Falcon 9 v1.2,-81.0,28.5,0,0.0,,0.0,414850.0,Kerosene,24700.0,109500.0,Kerosene,4250.0,0.0,,0.0,0.0,,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
78,False,Long March (CZ) 3B,102.0,28.2,4,164400.0,Hypergolic,14200.0,186200.0,Hypergolic,11200.0,41000.0,Hypergolic,3924.0,18196.5,Hydrogen,2770.0,0.0,,0.0,1500.0,172759097.0,2203277.5,27020400.0,58740000.0,6265600.0,3916000.0,0.0,0.0
79,False,Soyuz-2-1A,63.4,45.6,4,156640.0,Kerosene,15136.0,90100.0,Kerosene,6545.0,22790.0,Kerosene,2410.0,0.0,,0.0,0.0,,0.0,1000.0,91640200.0,2695300.0,85710540.0,171690610.0,5929660.0,0.0,0.0,0.0
80,True,Falcon 9 v1.2,-81.0,28.5,0,0.0,,0.0,414850.0,Kerosene,24700.0,109500.0,Kerosene,4250.0,0.0,,0.0,0.0,,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
81,True,Falcon 9 v1.2,-81.0,28.5,0,0.0,,0.0,414850.0,Kerosene,24700.0,109500.0,Kerosene,4250.0,0.0,,0.0,0.0,,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
82,False,Soyuz-2-1B Fregat-M,40.6,62.8,4,156640.0,Kerosene,15136.0,90100.0,Kerosene,6545.0,25400.0,Kerosene,2355.0,5750.0,Hypergolic,960.0,0.0,,0.0,1800.0,94781600.0,2744400.0,86937270.0,174215680.0,6079080.0,57500.0,0.0,0.0
83,False,Long March (CZ) 2C,102.0,28.2,0,0.0,,0.0,162706.0,Hypergolic,10000.0,54667.0,Hypergolic,4000.0,0.0,,0.0,0.0,,0.0,800.0,85210216.0,869492.0,14998737.0,32605950.0,3477968.0,2173730.0,0.0,0.0
84,False,Electron (Curie),177.8655,-39.2609,0,0.0,,0.0,9250.0,Kerosene,950.0,2100.0,Kerosene,250.0,245.0,Hypergolic,40.0,0.0,,0.0,44.0,3955040.0,114480.0,3626205.0,7266700.0,253620.0,2450.0,0.0,0.0
85,False,Falcon 9 v1.2,-81.0,28.5,0,0.0,,0.0,414850.0,Kerosene,24700.0,109500.0,Kerosene,4250.0,0.0,,0.0,0.0,,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
86,False,Long March (CZ) 6,111.5,37.8,0,0.0,,0.0,76000.0,Kerosene,7530.0,15075.0,Kerosene,1490.0,480.0,Kerosene,520.0,0.0,,0.0,1500.0,31128700.0,915550.0,29114490.0,58320535.0,2014210.0,0.0,0.0,0.0
87,False,Ceres-1,100.3,41.3,0,0.0,,0.0,12750.0,Solid,1240.0,12750.0,Solid,1376.0,1890.0,Solid,684.0,166.0,Hypergolic,71.0,57.0,8336852.0,685414.0,6228984.0,3092580.0,440896.0,1660.0,8983920.0,5943630.0
88,False,PSLV-DL,80.4,13.9,2,24400.0,Solid,4710.0,138600.0,Solid,30100.0,41500.0,Hypergolic,5350.0,7625.0,Solid,900.0,2250.0,Hypergolic,670.0,1125.0,68678750.0,4440625.0,41750625.0,25672500.0,3430000.0,437500.0,55965000.0,37025625.0
89,False,Long March (CZ) 3B,102.0,28.2,4,164400.0,Hypergolic,14200.0,186200.0,Hypergolic,11200.0,41000.0,Hypergolic,3924.0,18196.5,Hydrogen,2770.0,0.0,,0.0,1500.0,172759097.0,2203277.5,27020400.0,58740000.0,6265600.0,3916000.0,0.0,0.0
90,False,Atlas V 531 v2020,-81.0,28.5,3,132600.0,Solid,15300.0,284089.0,Kerosene,21351.0,20800.0,Hydrogen,2030.0,0.0,,0.0,0.0,,0.0,3524.0,158641860.0,6883890.0,120440502.0,195815893.0,8371558.0,0.0,43492800.0,28774200.0
91,False,Falcon 9 v1.2,-81.0,28.5,0,0.0,,0.0,414850.0,Kerosene,24700.0,109500.0,Kerosene,4250.0,0.0,,0.0,0.0,,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
92,False,Vega,-52.8,5.2,0,0.0,,0.0,87710.0,Solid,8533.0,23814.0,Solid,2486.0,10567.0,Solid,1433.0,577.0,Hypergolic,688.0,540.0,37097666.0,3054583.0,27754470.0,13760742.0,1962688.0,5770.0,40045848.0,26493747.0
